,ECI_M,BAND_M,ECI_N,BAND_N,CH_M,CH_N,CH_CROSS,AREA_M,¹²¸²¸Ç¶È
10,103014150,F2,103021057,F1,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]",0,0,8.56117248361192e-06,0.0
11,103014150,F2,103021058,F1,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.15168412965073, 30.08408830992969], [121.15221717586729, 30.08371426745273], [121.15487530631707, 30.083593070838646], [121.15171337342912, 30.084232190522066]]",0,8.56117248361192e-06,0.0
12,103014150,F2,103021059,F1,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.14577709999999, 30.08633945], [121.14931662418053, 30.083440906835627], [121.15172088868648, 30.084220444073733], [121.15377600000001, 30.085009000000003], [121.1529767, 30.08536309], [121.14960301880848, 30.08635959657872]]",0,8.56117248361192e-06,0.0
13,103014150,F2,103021062,F2,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.1476317, 30.08543167], [121.15031777677423, 30.084927383021032], [121.15161149063394, 30.08531638637155], [121.15159485584107, 30.085355136248975], [121.1495799801092, 30.086306556694677], [121.1479433, 30.08636833], [121.147885, 30.086335], [121.14775829999999, 30.08613833], [121.14771, 30.086059999999996]]",0,8.56117248361192e-06,0.0
14,103014150,F2,198049794,D1,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.15632892664017, 30.085002021293505], [121.15714475203022, 30.083492227347694], [121.15926556699944, 30.085646823936383], [121.15723292155785, 30.088412413029634]]",0,8.56117248361192e-06,0.0
15,103014150,F2,198049795,D1,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.15163935124333, 30.08522316715223], [121.15555790260409, 30.086424803558224], [121.15586051902204, 30.087330476327345], [121.1558044, 30.08894547], [121.1548757, 30.09053167], [121.15381568112193, 30.08935219067922], [121.151871, 30.086483], [121.1516623171796, 30.08616856729498]]","[[121.1530455, 30.08684272], [121.15569024438341, 30.08682087706459], [121.15586051902204, 30.087330476327345], [121.1558044, 30.08894547], [121.1550337400167, 30.090261740986882], [121.15480429145312, 30.090452213958116], [121.15474525829194, 30.09038652796487], [121.15417445346746, 30.0896070175479]]",8.56117248361192e-06,0.7671639273160795
16,103014150,F2,198049798,D2,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.14610086089557, 30.085356212023022], [121.15248829999999, 30.07924167], [121.15553526232024, 30.085160026725003], [121.15599109999998, 30.08874005], [121.1558567, 30.08900339], [121.15525450565006, 30.09014568552323], [121.15480420441148, 30.090456201282663], [121.15467414781243, 30.090506194076394], [121.150795, 30.088565000000003], [121.14748776794593, 30.08678052541868]]","[[121.1530455, 30.08684272], [121.1557466759496, 30.086820410996463], [121.15599109999998, 30.08874005], [121.1558567, 30.08900339], [121.15531750936262, 30.09002617450688], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]",8.56117248361192e-06,0.7977670445553855
17,103014150,F2,198049801,D3,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.15216699999999, 30.08664656], [121.152377, 30.08624852], [121.15553496185747, 30.085158526193204], [121.15569409999999, 30.08825168]]","[[121.1530455, 30.08684272], [121.15562051695453, 30.0868214529432], [121.15569409999999, 30.08825168], [121.15314764849036, 30.087092835553534]]",8.56117248361192e-06,0.2454661870812202
18,103014150,F2,214950977,D1,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.1568576113807, 30.086856960747483], [121.15717661776536, 30.085891258829786], [121.15926029999999, 30.08587661], [121.16054479999998, 30.08589024], [121.16059409999998, 30.08596137], [121.1593885, 30.08777888], [121.15880530792465, 30.088645675245573], [121.1572304142444, 30.08965931347495]]",0,8.56117248361192e-06,0.0
19,103014150,F2,214950980,D2,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.15717400454294, 30.087207708748394], [121.15728482839091, 30.085919457777706], [121.15903027587596, 30.085941683984817], [121.16226850140036, 30.086357665096664], [121.1643786293034, 30.087719616924993], [121.15975192630093, 30.09182791365422], [121.15964641741834, 30.09181634766927], [121.15735218938109, 30.090445788236657], [121.15718540080701, 30.08874424157595]]",0,8.56117248361192e-06,0.0
